City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,santa marta,11.2408,-74.199,28.83,84,0,1.34,CO,1691028817
315,sao tome,0.3365,6.7273,22.99,77,90,2.42,ST,1691028859
316,lockwood,45.8191,-108.4149,25.72,44,75,6.17,US,1691028789
317,shambu,9.5667,37.1,10.08,92,98,0.52,ET,1691028860
318,kribi,2.95,9.9167,23.82,86,100,2.53,CM,1691028860
319,saida,34.8303,0.1517,18.88,27,0,1.61,DZ,1691028860
320,xining,36.6167,101.7667,22.19,55,100,1.33,CN,1691028358
321,charters towers,-20.1,146.2667,23.28,42,6,7.3,AU,1691028860
322,berdigestyakh,62.0989,126.6992,18.98,51,100,1.01,RU,1691028860
323,tofol,5.3248,163.0078,28.62,73,10,4.2,FM,1691028335
324,mount isa,-20.7333,139.5,25.87,38,5,7.72,AU,1691028326
325,ormara,25.2088,64.6357,27.55,81,45,4.7,PK,1691028860
326,heroica matamoros,25.8833,-97.5,30.94,73,0,6.69,MX,1691028858
327,solleftea,63.1667,17.2667,14.92,95,100,1.79,SE,1691028861
328,al bayda,32.7627,21.7551,23.09,51,0,1.87,LY,1691028861
329,thakurganj,26.45,88.1333,28.12,83,100,5.78,IN,1691028861
330,cape canaveral,28.4058,-80.6048,29.43,81,0,2.06,US,1691028747
331,susuman,62.7833,148.1667,14.96,43,93,7.55,RU,1691028329
332,noosa heads,-26.3833,153.15,21.85,53,0,6.32,AU,1691028367
333,porto barra do ivinheima,-22.9667,-53.6667,19.3,49,0,1.36,BR,1691028861
334,kumagunnam,13.1551,10.6342,28.5,58,93,4.9,NG,1691028861
335,hirara,24.8,125.2833,26.15,100,75,22.12,JP,1691028358
336,shuangjiang,26.1547,109.7138,24.33,85,100,0.82,CN,1691028862
337,paso de carrasco,-34.8603,-56.0522,13.47,67,100,8.23,UY,1691028862
338,val-d'or,48.1002,-77.7828,16.05,94,100,5.66,CA,1691028862
339,aktau,43.65,51.2,25.32,47,8,4.27,KZ,1691028862
340,flin flon,54.7682,-101.865,20.63,59,86,2.45,CA,1691028795
341,kosh-agach,50.0,88.6667,17.7,41,62,0.46,RU,1691028862
342,balqash,46.8481,74.995,23.33,53,0,3.0,KZ,1691028862
343,tabuk,17.4189,121.4443,24.75,94,100,0.85,PH,1691028862
344,ghormach,35.7306,63.7826,28.07,23,0,1.86,AF,1691028863
345,ellsworth,44.5434,-68.4195,17.38,87,0,2.57,US,1691028863
346,homer,59.6425,-151.5483,21.69,77,0,7.72,US,1691028605
347,cavalaire-sur-mer,43.174,6.5272,25.4,67,0,0.89,FR,1691028863
348,lander,42.833,-108.7307,19.33,79,40,0.0,US,1691028863
349,bel ombre,-4.6167,55.4167,25.91,83,40,4.63,SC,1691028345
350,pandan,14.0453,124.1694,30.81,67,100,5.95,PH,1691028772
351,zhezqazghan,47.7833,67.7667,21.32,40,0,2.0,KZ,1691028864
352,lyuban',52.7985,28.0048,14.65,94,0,1.86,BY,1691028864
353,mahina,-17.5065,-149.489,27.87,65,75,4.63,PF,1691028864
354,constantia,44.1833,28.65,19.38,75,0,3.95,RO,1691028246
355,gurupa,-1.405,-51.64,24.98,73,47,0.99,BR,1691028864
356,moroni,-11.7022,43.2551,23.66,78,34,8.19,KM,1691028864
357,timimoun,29.2639,0.231,34.21,10,0,5.14,DZ,1691028865
358,xilin hot,43.9667,116.0333,30.86,38,83,7.86,CN,1691028323
359,santarem,-2.4431,-54.7083,29.07,84,0,2.06,BR,1691028865
360,nedumangad,8.6,77.0,26.6,89,40,3.09,IN,1691028865
361,broken hill,-31.95,141.4333,19.79,29,95,7.14,AU,1691028353
362,east london,-33.0153,27.9116,15.67,37,0,3.85,ZA,1691028316
363,christchurch,-43.5333,172.6333,10.18,80,100,4.12,NZ,1691028709
364,cumana,10.4635,-64.1775,26.5,84,92,3.64,VE,1691028865
